DATE,SYMBOL,DELIV_QTY,DELIV_PER
20260924,544466,6587,45.63
20260924,544467,316640,66.63
20260924,544468,7200,75.0
20260924,544469,42971,100.0
20260924,544470,9224,71.88
20260924,544471,20000,100.0
20260924,544473,43278,90.06
20260924,544474,1600,100.0
20260924,544476,10222,50.33
20260924,544477,15283,98.91
20260924,544478,38,58.46
20260924,544479,2087,66.59
20260924,544480,125407,77.21
20260924,544481,9402,82.65
20260924,544482,8000,88.89
20260924,544483,1200,100.0
20260924,544484,6480849,95.74
20260924,544485,23836,44.1
20260924,544486,74582,99.8
20260924,544487,1554,49.19
20260924,544488,80475,62.46
20260924,544489,4800,100.0
20260924,544490,4685,24.7
20260924,544491,4034,78.73
20260924,544492,1456,72.37
20260924,544493,111,95.69
20260924,544494,3200,100.0
20260924,544495,3600,75.0
20260924,544496,408751,36.49
20260924,544497,1716084,44.77
20260924,544498,3200,66.67
20260924,544499,5,100.0
20260924,544500,10000,71.43
20260924,544501,63000,100.0
20260924,544502,3279,100.0
20260924,544503,6000,100.0
20260924,544504,4400,100.0
20260924,544505,18000,90.0
20260924,544506,8400,100.0
20260924,544507,59723,77.17
20260924,544510,4800,50.0
20260924,544511,11200,66.67
20260924,544512,6109,74.88
20260924,544513,2245,91.48
20260924,544515,92246,38.79
20260924,544516,54000,49.77
20260924,544517,120420,92.03
20260924,544518,11200,100.0
20260924,544519,4136,63.81
20260924,544520,6000,100.0
20260924,544521,3242,87.6
20260924,544522,257,99.23
20260924,544523,2400,37.29
20260924,544524,24000,73.17
20260924,544525,9072,55.0
20260924,544526,3282,67.3
20260924,544527,4205,49.56
20260924,544528,7454,66.97
20260924,544529,14400,100.0
20260924,544530,4070,67.91
20260924,544531,10200,85.0
20260924,544532,14688,59.16
20260924,544533,6255,52.14
20260924,544534,489,7.69
20260924,544535,5600,70.0
20260924,544536,37,100.0
20260924,544537,31813,48.9
20260924,544538,42000,100.0
20260924,544540,17692,48.07
20260924,544541,34800,69.05
20260924,544542,8000,80.0
20260924,544543,9836,72.57
20260924,544544,28800,100.0
