DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M,MOMENTUM_RAW,FOOTPRINT_RAW,STABILITY_RAW,HASMOMENTUMDATA,HASFOOTPRINTDATA,HASSTABILITYHISTORY20D,MOMENTUM_SCORE,FOOTPRINT_SCORE,STABILITY_SCORE,TRIGGER_COUNT_30D,AI_SCORE,COMBINED_SCORE,SIS,Whale_Density,Implied_Trades,AI_WIN_PROBABILITY,ATR14,STOP_LOSS,TAKE_PROFIT,CHANDELIER_EXIT,REC_POS_SIZE_INR
2026-09-15,JHACC,,BSE,207.4,87.06,725485.2000000001,10048.19512195122,,88.758,78.99954545454547,77.28166666666667,3805273.18,1205829.193181818,583285.5143939394,39490.20197592497,14997.448180245388,8719.210523665039,1.126528499644159,1.2437908744464754,1.1524202901947542,,,,0.7362637362637363,0.7472527472527473,0.7032967032967034,1,0.7703296703296703,1,0.7229592716361053,1385.0310277799213,72.20054857564519,65.869672902366,,,,,
2026-09-04,MARBLE,,BSE,177.0,100.0,9502245.0,104925.78888888888,,87.05199999999999,92.795,92.30060606060606,12478913.72,26327786.093181822,10886310.243484847,55860.72606066997,146723.95490249642,80129.36069601712,1.083416504701371,0.872861859295883,1.3094549610465605,,,,0.6043956043956044,0.5824175824175825,0.7802197802197802,1,0.7868131868131869,0,0.6830438597284436,1104.2210434364604,90.5615778601617,68.38693325160406,,,,,
2026-08-26,APTUS,,NSE,237.27,68.01,203690363.25,11022.442843490406,,59.476,60.877272727272725,56.412121212121214,278202295.11800003,228190633.41227275,180594921.89803028,10994.793522792548,14260.577278142266,12223.366310364225,1.2055919639020198,1.1278853309342227,0.9017518221755694,,,,0.8571428571428571,0.7142857142857143,0.5824175824175825,1,0.7065934065934065,0,0.6736112023496497,5.411371783927733,18479.602583767963,51.18927507901858,6.959283011300223,223.35143397739955,265.1071320452009,,100000.0
2026-09-15,VENTIVE,,NSE,556.75,66.68,9050528.0,11772.670034692108,,76.93599999999999,65.83363636363636,60.05878787878788,17135309.45,14036618.906818183,9102949.061363636,16621.706874079122,13749.35788191365,10740.684557575163,1.1102455170186787,0.9942413100402671,1.0960819090799114,,,,0.7142857142857143,0.6593406593406593,0.6593406593406593,1,0.732967032967033,1,0.6701869468501052,130.07716273229704,768.7744558651176,38.94986090978801,,,,,
2026-09-09,BLUESTARCO,,NSE,1565.0,44.52,434868115.0,29705.306954195923,,44.518,45.47272727272727,44.25287878787879,480579803.24,367773530.27272725,349248805.52272725,26200.246353764047,28121.395133596507,25571.3857035644,1.0060362448599474,1.2451527625101673,1.161661995894704,,,,0.42857142857142855,0.7582417582417582,0.7142857142857143,1,0.7472527472527473,2,0.6655035860211995,6.830877208414307,14639.408226635886,62.40536999417448,50.699986049107146,1463.6000279017858,1767.7999441964287,,100000.0
2026-09-02,AKUMS,,NSE,821.45,37.11,251621635.3,16915.388487723074,,53.798,54.48863636363637,52.15681818181818,122529514.78000002,148085426.27954546,121870171.21212122,12265.31829048408,13366.485258444589,12285.552466384455,0.711508126715761,2.0646695807298063,1.3768520816631329,,,,0.10989010989010989,0.8681318681318682,0.8241758241758241,1,0.7923076923076924,2,0.6634570916827112,6.722549302072307,14875.309277266855,62.20706490942871,27.528568812779017,766.392862374442,931.5642752511161,,100000.0
2026-09-08,SAGCEM,,NSE,152.7,75.5,3902248.5,6556.222931472081,,68.562,66.43136363636361,59.17560606060605,6123143.075999999,6294097.232727273,5033714.748030302,6956.989685745675,8092.644606776093,7084.872812641946,1.275863569908772,0.7752224143267066,0.9253832926645394,,,,0.8901098901098901,0.5604395604395604,0.6153846153846154,1,0.7142857142857144,1,0.6497170684055473,168.01141525128602,595.1976527930268,31.67274525502151,,,,,
2026-09-18,ALKEM,,NSE,5364.0,58.56,298324224.0,53003.51614577926,,63.938,62.65545454545455,56.15090909090908,906298545.6,496180913.0681818,457919021.3636364,61369.00237633321,45365.341966892425,39403.320312559845,1.042903862966681,0.6514781218557393,1.3451535486181945,,,,0.510989010989011,0.489010989010989,0.7967032967032966,2,0.6780219780219781,2,0.6404379750979998,17.76708422638158,5628.385542942059,25.138851523821966,114.03571428571429,5135.928571428572,5820.142857142857,,100000.0
2026-09-16,ALKEM,,NSE,5364.0,58.56,298324224.0,53003.51614577926,,63.938,62.65545454545455,56.15090909090908,906298545.6,496180913.0681818,457919021.3636364,61369.00237633321,45365.341966892425,39403.320312559845,1.042903862966681,0.6514781218557393,1.3451535486181945,,,,0.510989010989011,0.489010989010989,0.7967032967032966,1,0.7780219780219781,2,0.6404379750979998,17.76708422638158,5628.385542942059,25.138851523821966,114.03571428571429,5135.928571428572,5820.142857142857,,100000.0
2026-09-08,MGEL,,NSE,15.78,80.69,3654900.48,7565.643084577115,,70.36,68.81863636363636,63.08787878787879,6650921.552,19684334.86272727,9020020.093636364,6915.701574486078,9329.900553803554,6128.87881248973,1.2790095585763004,0.40519870710471445,1.2344253029052354,,,,0.9010989010989011,0.34065934065934067,0.7362637362637363,1,0.7659340659340661,1,0.6360791910824317,206.99997512865562,483.0918454837858,33.77776536389623,1.038571493966239,13.702857012067522,19.934285975864956,,100000.0
2026-08-14,DISAQ,,NSE,12134.0,66.98,861514.0,18018.422535211263,,54.202,42.088636363636354,32.71363636363636,1027152.0,1513811.318181818,1640562.3333333333,17767.855885552875,17801.404599933066,17103.88421477758,2.0474642212032794,0.5251333536651153,1.0534696276558941,,,,0.989010989010989,0.4065934065934066,0.6483516483516484,1,0.7285714285714286,2,0.6319353241724288,2091.4834274557656,47.812953565521376,67.61863714248582,,,,,
2026-08-31,RELIGARE,,NSE,253.21,49.75,158461603.31,23515.4453166519,,53.804,55.08227272727272,55.65712121212121,54234636.426000014,172608351.60727274,162339190.8454545,11067.946588102624,16774.814087928975,17429.233258044784,0.8938658507038496,0.976114285680123,1.349195628315888,,,,0.2087912087912088,0.6483516483516484,0.8131868131868132,1,0.7736263736263735,1,0.6248246330268561,14.839838058844075,6738.61800940632,24.023644830908573,6.761429922921317,239.68714015415736,280.2557196916853,,100000.0
2026-08-13,RECLTD,,NSE,310.2,64.98,679660297.8,42120.53725501984,,58.03,54.19409090909091,55.9989393939394,781509214.4,841220145.6295453,1060392163.780303,40020.3848396792,40491.55760838432,40006.0471031337,1.1603791197344104,0.6409518299126314,1.0528542634176048,,,,0.7802197802197802,0.4725274725274725,0.6373626373626373,1,0.7076923076923076,2,0.6128210545845636,6.197292587394066,16136.078552013234,63.215222710475096,5.049998692103794,300.1000026157924,330.3999947684152,,100000.0
