DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,TOTAL_TURNOVER,VOLUME,VWAP,VWAP_1M,WHALE_DENSITY,WHALE_DENSITY_1M,ATW,EVER_100_DELIV,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2026-09-23,STEELCITY,INE395H01011,NSE,84.82,68.52,497384.48,723475.0,8558,84.53785931292359,88.51838593492461,40.55924170616114,63.089764921762516,3428.791469194313,False,78.402,70.15045454545454,67.99181818181819,408340.692,1165019.9572727273,817867.6354545454,3649.2777833015643,5584.604159888243,4269.821412722332
2026-09-23,STEELCO,INE629B01032,BSE,228.7,0.0,0.0,209717.0,917,228.6990185387132,252.4919244970087,53.94117647058824,85.85687959308295,12336.29411764706,True,100.0,100.0,100.0,1373070.3399999999,2336915.786363636,2391627.0946969697,21700.20179043759,21678.168759765467,23411.618481882593
2026-09-23,STEELXIND,INE503B01021,NSE,12.01,22.06,115029630.21,533168765.46,43409817,12.28221638114715,11.912238946065635,794.7750233435252,772.6777166510601,9761.598811036452,False,43.194,44.827272727272735,53.349242424242426,24409315.902000003,24093215.757727273,18847651.569696967,12344.515775427684,9204.321589047826,8115.343945777354
2026-09-23,STEL,INE577L01016,NSE,640.6,46.95,3592484.8000000003,7765136.75,11945,650.0742360820427,629.8766735962295,13.825231481481481,13.770860487471518,8987.426793981482,False,76.404,63.83681818181819,62.23984848484849,4154928.13,2639409.311363637,1809405.893939394,9665.413409146446,8673.94379640631,7408.208192900794
2026-09-23,STELLANT,INE395F01023,BSE,975.3,0.0,0.0,3242488.0,3286,986.7583688374924,1038.091538389933,23.81159420289855,15.528027346087791,23496.289855072464,True,100.0,100.0,100.0,1505512.0100000002,5632266.297727273,6629519.513636365,13428.698841740901,16119.513795861223,24584.932800291528
2026-09-23,STELLAR,INE325P01011,BSE,4.7,0.0,0.0,28200.0,6000,4.7,5.336478873239437,6000.0,6860.729187411073,28200.0,False,41.666,78.86363636363636,80.77365853658537,42324.0,85996.36363636363,108962.9268292683,34636.0,36612.13636363636,40638.32984901278
2026-09-23,STERPOW,INE067E01013,BSE,26.47,0.0,0.0,84573.0,3255,25.982488479262674,28.31835126662713,98.63636363636364,81.11585059449739,2562.818181818182,False,75.474,82.18681818181818,92.66893939393938,99808.16399999999,124837.09954545456,185849.30681818182,1814.434490470568,2297.0671504262223,3385.3250113770787
2026-09-23,STHINPA,INE088G01014,BSE,116.4,0.0,0.0,787870.0,6672,118.08603117505996,119.88353573196595,180.32432432432432,145.10469548699663,21293.783783783783,False,77.272,81.74545454545456,82.1610606060606,421264.35,1415583.9818181815,1345692.916969697,11774.287318087318,17395.6639462914,15266.230082719618
2026-09-23,STL,INE402Y01028,BSE,8.89,0.0,0.0,2299047.0,269795,8.521458885450064,8.051399636628979,681.300505050505,308.34772318564524,5805.674242424242,False,79.464,76.26272727272728,69.94484848484849,143022.7,240347.11772727277,223275.3778787879,1723.5759732825281,2482.630746412277,2314.5003091272442
2026-09-23,STLNETWORK,INE1VXE01018,NSE,49.7,73.99,113509183.9,153054015.65,3086717,49.584725664840676,35.97251202490586,1448.4828718911308,530.9322590352252,71822.62583294229,False,72.54999999999998,64.33409090909092,56.45030303030304,183553740.576,96764974.76954545,76759334.40136363,31934.446011382308,19098.96707255507,15553.330775028327
2026-09-23,STLSTRINF,INE205F01016,NSE,24.01,72.33,254217.88,350030.57,14638,23.912458669217106,24.286843218803387,127.28695652173913,70.98204752238995,3043.7440869565216,False,57.07000000000001,71.62363636363636,81.47333333333331,499822.752,176169.04136363635,81778.51212121213,2253.4197608548766,1723.929859525936,1865.8630840474125
2026-09-23,STML,INE0MSK01016,BSE,85.36,0.0,0.0,1505592.0,18000,83.644,68.96860294117647,1200.0,2131.7731385238235,100372.8,False,100.0,93.73272727272727,89.93863636363638,485976.0,492245.45454545453,482434.0,262308.0,147025.41515151516,129103.08951065275
2026-09-23,STOVACQ,INE755D01015,BSE,1625.0,0.0,0.0,897292.0,552,1625.5289855072465,1637.2465314834578,14.526315789473683,7.150531305904335,23612.947368421053,False,87.092,81.57181818181817,83.43424242424244,259083.49,221303.08181818185,314627.59318181814,11417.118931718793,11707.182578855753,12560.71599026651
2026-09-23,STOVEKRAFT,INE00IN01015,NSE,829.1,53.56,57804022.9,108064721.0,130160,830.2452443146896,831.4800478807865,12.082056994337696,15.674942787391517,10031.070361087905,False,48.592,48.85727272727272,49.993939393939385,32378380.639999997,59539312.690909095,68208164.97424243,9800.82526048786,13033.402179388888,15054.730389014976
2026-09-23,STRATMONT,INE473C01025,BSE,60.68,0.0,0.0,14756.0,252,58.55555555555556,56.184193911292944,28.0,3519.820784318534,1639.5555555555557,False,97.72999999999999,93.47636363636364,97.5312121212121,72335.906,14116882.901818184,4737214.172272727,3484.5976190476185,197758.29347915173,68808.8006249331
2026-09-23,STRGRENWO,INE398F01019,BSE,19.99,0.0,0.0,299.0,15,19.933333333333334,21.14109589041096,15.0,12.429654380911426,299.0,False,100.0,99.95727272727272,97.2560606060606,492.78200000000015,701.1322727272728,3183.072727272727,178.66666666666669,262.7765151515151,672.7094645043509
2026-09-23,STUDDS,INE00Q601028,NSE,415.75,69.59,15626379.5,22511427.45,54012,416.7856670739835,436.01891032207556,12.887616320687188,17.932065038595262,5371.373765211167,False,50.14,60.60454545454545,59.19272727272727,13615949.790000001,11982514.345454544,13979619.805303028,7603.701394228845,7818.719457952893,10177.776602416277
2026-09-23,STYL,INE04VU01023,NSE,359.8,58.37,8228626.0,14167746.4,39184,361.56968150265413,381.78618391296953,18.361761949390814,26.930128096193954,6639.056419868791,False,52.605999999999995,49.78818181818181,48.94272727272727,22977207.93,20353151.01590909,35480844.888636366,9637.724623724689,10281.550838133333,11195.30419837462
2026-09-23,STYLAMIND,INE239C01020,NSE,3355.6,44.33,131301272.39999999,297955485.0,88259,3375.9218323343794,3379.650856649988,5.6226667516085875,4.378142830625884,18981.683442696056,False,46.622,49.33863636363637,46.78909090909091,72324218.96000001,67001868.949999996,79220597.16212122,14675.95513420346,14796.594168060772,14941.091157838551
2026-09-23,STYLEBAAZA,INE01FR01028,NSE,378.05,52.21,269972687.95,510048157.1,1367688,372.92727369107575,398.5222265862798,80.25867026582947,113.55093109183542,29930.64709230679,False,57.638,59.44545454545455,52.71242424242425,342544868.29,312061462.3159091,257267424.36212122,38884.19519467576,45252.569889663486,38907.48333036239
2026-09-23,STYRENIX,INE189B01011,NSE,2130.1,46.69,28309029.0,60569465.6,28464,2127.9323215289487,2066.715145339915,6.275132275132275,8.320078358149944,13353.056790123457,False,58.346000000000004,59.00545454545455,56.72636363636364,28860495.019999992,43843694.92727272,70581348.32424244,15487.124003640576,17195.231953203343,20124.8642655666
2026-09-23,SUBAM,INE0U6201010,BSE,214.3,0.0,0.0,2064320.0,9600,215.03333333333333,208.50357142857143,800.0,843.1604225478349,172026.66666666666,False,84.008,82.60727272727271,85.92484848484848,2545760.0,1311574.5454545454,2132812.121212121,174141.6835589942,175801.95938844697,220573.76361693937
2026-09-23,SUBEXLTD,INE754A01055,NSE,22.08,16.33,255924775.67999998,1544937833.9,70960363,21.771842315688268,19.46357602323249,274.803707662399,497.20637070717123,5982.982990992247,False,29.619999999999997,42.283181818181816,47.42151515151516,49214305.038,68988197.10954545,37947430.073787875,10550.633892934033,9677.413995494544,8273.284236902462
2026-09-23,SUBROS,INE287B01021,NSE,731.5,37.65,14384216.0,38304575.35,52234,733.326479879006,714.5633112768529,13.70971128608924,14.088514306695108,10053.694317585303,False,47.272000000000006,51.28,46.00484848484849,11411407.669999998,12446153.395454545,29325211.78409091,9218.99843809287,10067.135433963373,11873.38277256104
2026-09-23,SUBSM,INE690D01014,BSE,47.38,0.0,0.0,47.0,1,47.0,57.07560815253123,1.0,14.731074535935543,47.0,True,99.634,99.91681818181819,99.92181818181818,5877.990000000001,3959.1949999999997,4402.41893939394,2131.2166666666667,840.7850378787879,1355.7897937710436
2026-09-23,SUCROSA,INE366G01022,BSE,13.57,0.0,0.0,1696445.0,127539,13.301382322270051,13.82010184478363,904.531914893617,579.0361450973379,12031.524822695035,False,100.0,100.0,78.20257575757576,1174489.124,936589.3904545455,861085.7816666666,7183.572732664848,8002.338497056122,8117.979896725948
